x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0.00344828	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.0037931	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00413793	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00448276	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00482759	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00517241	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00551724	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00586207	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.0062069	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00655172	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00689655	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00724138	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00758621	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00793103	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00827586	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00862069	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00896552	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00931034	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.00965517	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
0.01	1000	987.391	987.391	987.389	987.388	987.386	987.385	987.383	987.381	987.38	987.378	987.376	987.374	987.372	987.371	987.369	987.368	987.366	987.365	987.364	987.363	987.363	987.365	987.366	987.368	987.369	987.37	987.371	987.371	987.371	987.371	987.37	987.369	987.367	987.365	987.364	987.362	987.361	987.361	987.362	987.364	987.365	987.367	987.369	987.371	987.372	987.373	987.374	987.374	987.374	987.373	987.373	987.371	987.37	987.369	987.368	987.367	987.366	987.366	987.366	987.367	987.368	987.369	987.371	987.374	987.379	987.389	987.409	987.41	987.333	987.33	987.347	987.357	1012.63	1012.74	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.77	1012.78	1012.78	1012.78	1012.78	1012.78	1012.78	1012.77	1012.77	1012.76	1012.76	1012.76	1012.76	1012.76	1012.76	1012.77	1012.77	1012.78
