x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
0.00344828	0	-1.87894e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85523e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84922e-05	-1.84828e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84438e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84816e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86715e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90915e-05	-1.91288e-05	-1.91666e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86869e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85246e-05	1.8501e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.84161e-05	1.83972e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83307e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.8203e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82689e-05	1.82799e-05	1.82917e-05	1.83045e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.85041e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.0037931	0	-1.87894e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85523e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84922e-05	-1.84828e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84438e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84816e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90915e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86869e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85245e-05	1.8501e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.84161e-05	1.83972e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.8203e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82689e-05	1.82799e-05	1.82917e-05	1.83045e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.85041e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00413793	0	-1.87894e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85523e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84922e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86869e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.84161e-05	1.83972e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82689e-05	1.82799e-05	1.82917e-05	1.83045e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.85041e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00448276	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85523e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84922e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83972e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82689e-05	1.82799e-05	1.82917e-05	1.83045e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.85041e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00482759	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85523e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84922e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83971e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82688e-05	1.82798e-05	1.82917e-05	1.83045e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.85041e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00517241	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85522e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84921e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83971e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82688e-05	1.82798e-05	1.82917e-05	1.83044e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.8504e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00551724	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85522e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84921e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85747e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83971e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82688e-05	1.82798e-05	1.82917e-05	1.83044e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.8504e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00586207	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85522e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84921e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84656e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85746e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83971e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82688e-05	1.82798e-05	1.82917e-05	1.83044e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.8504e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.0062069	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85522e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84921e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84655e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85746e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83971e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83028e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82688e-05	1.82798e-05	1.82917e-05	1.83044e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.8504e-05	1.85277e-05	1.85524e-05	1.8578e-05
0.00655172	0	-1.87893e-05	-1.87643e-05	-1.87403e-05	-1.87173e-05	-1.86952e-05	-1.86741e-05	-1.86539e-05	-1.86347e-05	-1.86164e-05	-1.8599e-05	-1.85825e-05	-1.85669e-05	-1.85522e-05	-1.85385e-05	-1.85256e-05	-1.85136e-05	-1.85024e-05	-1.84921e-05	-1.84827e-05	-1.84742e-05	-1.84665e-05	-1.84597e-05	-1.84537e-05	-1.84485e-05	-1.84442e-05	-1.84408e-05	-1.84382e-05	-1.84364e-05	-1.84355e-05	-1.84355e-05	-1.84363e-05	-1.84379e-05	-1.84404e-05	-1.84437e-05	-1.84479e-05	-1.8453e-05	-1.84588e-05	-1.84655e-05	-1.84731e-05	-1.84815e-05	-1.84908e-05	-1.8501e-05	-1.8512e-05	-1.85239e-05	-1.85367e-05	-1.85503e-05	-1.85649e-05	-1.85804e-05	-1.85967e-05	-1.8614e-05	-1.86322e-05	-1.86514e-05	-1.86714e-05	-1.86925e-05	-1.87144e-05	-1.87374e-05	-1.87613e-05	-1.87862e-05	-1.8812e-05	-1.88389e-05	-1.88668e-05	-1.88957e-05	-1.89257e-05	-1.89567e-05	-1.89888e-05	-1.90219e-05	-1.9056e-05	-1.90914e-05	-1.91288e-05	-1.91665e-05	-1.92053e-05	-1.92453e-05	1.8964e-05	1.89246e-05	1.88871e-05	1.88509e-05	1.88159e-05	1.8782e-05	1.87492e-05	1.87175e-05	1.86868e-05	1.86573e-05	1.86287e-05	1.86012e-05	1.85746e-05	1.85491e-05	1.85245e-05	1.85009e-05	1.84783e-05	1.84566e-05	1.84359e-05	1.8416e-05	1.83971e-05	1.83792e-05	1.83621e-05	1.83459e-05	1.83306e-05	1.83163e-05	1.83027e-05	1.82901e-05	1.82784e-05	1.82675e-05	1.82575e-05	1.82483e-05	1.824e-05	1.82325e-05	1.82259e-05	1.82201e-05	1.82151e-05	1.8211e-05	1.82077e-05	1.82053e-05	1.82037e-05	1.82029e-05	1.82029e-05	1.82038e-05	1.82056e-05	1.82081e-05	1.82115e-05	1.82157e-05	1.82208e-05	1.82267e-05	1.82334e-05	1.8241e-05	1.82494e-05	1.82587e-05	1.82688e-05	1.82798e-05	1.82917e-05	1.83044e-05	1.83181e-05	1.83326e-05	1.8348e-05	1.83643e-05	1.83815e-05	1.83997e-05	1.84187e-05	1.84387e-05	1.84595e-05	1.84813e-05	1.8504e-05	1.85277e-05	1.85524e-05	1.8578e-05
