r(x_rel=0.75)	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=35000	t=36000	t=37000	t=38000	t=39000	t=40000	t=41000	t=42000	t=43000	t=44000	t=45000	t=46000	t=47000	t=48000	t=49000	t=50000	t=51000	t=52000	t=53000	t=54000	t=55000	t=56000	t=57000	t=58000	t=59000	t=60000	t=61000	t=62000	t=63000	t=64000	t=65000	t=66000	t=67000	t=68000	t=69000	t=70000	t=71000	t=72000	t=73000	t=74000	t=75000	t=76000	t=77000	t=78000	t=79000	t=80000	t=81000	t=82000	t=83000	t=84000	t=85000	t=86000	t=87000	t=88000	t=89000	t=90000	t=91000	t=92000	t=93000	t=94000	t=95000	t=96000	t=97000	t=98000	t=99000	t=100000	t=101000	t=102000	t=103000	t=104000	t=105000	t=106000	t=107000	t=108000	t=109000	t=110000	t=111000	t=112000	t=113000	t=114000	t=115000	t=116000	t=117000	t=118000	t=119000	t=120000	t=121000	t=122000	t=123000	t=124000	t=125000	t=126000	t=127000	t=128000	t=129000	t=130000	t=131000	t=132000	t=133000	t=134000	t=135000	t=136000	t=137000	t=138000	t=139000	t=140000	t=141000	t=142000	t=143000	t=144000
344.828	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
379.31	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
413.793	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
448.276	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
482.759	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
517.241	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
551.724	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
586.207	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
620.69	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
655.172	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
689.655	2e+06	2.01691e+06	2.03382e+06	2.05073e+06	2.06764e+06	2.08455e+06	2.10146e+06	2.11837e+06	2.13528e+06	2.15219e+06	2.16911e+06	2.18602e+06	2.20293e+06	2.21984e+06	2.23675e+06	2.25366e+06	2.27057e+06	2.28748e+06	2.30439e+06	2.3213e+06	2.33821e+06	2.35512e+06	2.37203e+06	2.38894e+06	2.40585e+06	2.42276e+06	2.43967e+06	2.45658e+06	2.47349e+06	2.49041e+06	2.50732e+06	2.52423e+06	2.54114e+06	2.55805e+06	2.57496e+06	2.59187e+06	2.60878e+06	2.62569e+06	2.6426e+06	2.65951e+06	2.67642e+06	2.69333e+06	2.71024e+06	2.72715e+06	2.74406e+06	2.76097e+06	2.77788e+06	2.79479e+06	2.81171e+06	2.82862e+06	2.84553e+06	2.86244e+06	2.87935e+06	2.89626e+06	2.91317e+06	2.93008e+06	2.94699e+06	2.9639e+06	2.98081e+06	2.99772e+06	3.01463e+06	3.03154e+06	3.04845e+06	3.06536e+06	3.08227e+06	3.09918e+06	3.1161e+06	3.13301e+06	3.14992e+06	3.16683e+06	3.18374e+06	3.20065e+06	3.21756e+06	3.20066e+06	3.18375e+06	3.16684e+06	3.14993e+06	3.13302e+06	3.11611e+06	3.0992e+06	3.08229e+06	3.06538e+06	3.04847e+06	3.03156e+06	3.01465e+06	2.99774e+06	2.98083e+06	2.96392e+06	2.94701e+06	2.9301e+06	2.91319e+06	2.89628e+06	2.87936e+06	2.86245e+06	2.84554e+06	2.82863e+06	2.81172e+06	2.79481e+06	2.7779e+06	2.76099e+06	2.74408e+06	2.72717e+06	2.71026e+06	2.69335e+06	2.67644e+06	2.65953e+06	2.64262e+06	2.62571e+06	2.6088e+06	2.59189e+06	2.57497e+06	2.55806e+06	2.54115e+06	2.52424e+06	2.50733e+06	2.49042e+06	2.47351e+06	2.4566e+06	2.43969e+06	2.42278e+06	2.40587e+06	2.38896e+06	2.37205e+06	2.35514e+06	2.33823e+06	2.32132e+06	2.30441e+06	2.2875e+06	2.27059e+06	2.25367e+06	2.23676e+06	2.21985e+06	2.20294e+06	2.18603e+06	2.16912e+06	2.15221e+06	2.1353e+06	2.11839e+06	2.10148e+06	2.08457e+06	2.06766e+06	2.05075e+06	2.03384e+06	2.01693e+06	2.00002e+06
