x	t=0	t=1000	t=2000	t=3000	t=4000	t=5000	t=6000	t=7000	t=8000	t=9000	t=10000	t=11000	t=12000	t=13000	t=14000	t=15000	t=16000	t=17000	t=18000	t=19000	t=20000	t=21000	t=22000	t=23000	t=24000	t=25000	t=26000	t=27000	t=28000	t=29000	t=30000	t=31000	t=32000	t=33000	t=34000	t=34135
0.00344828	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.0037931	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00413793	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00448276	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00482759	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00517241	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00551724	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00586207	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.0062069	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
0.00655172	1000	974.952	974.937	974.923	974.91	974.898	974.887	974.878	974.872	974.869	974.87	974.873	974.876	974.878	974.877	974.873	974.867	974.859	974.852	974.847	974.847	974.856	974.87	974.881	974.886	974.885	974.881	974.874	974.867	974.861	974.861	974.869	974.892	974.979	974.734	974.727
